Name,Site,Stone type,Length(mm)
PR-001,PR,Chert,25.8
PR-002,PR,Chert,6.3
PR-003,PR,Flint,44.6
PR-004,PR,Chert,21.3
PR-005,PR,Flint,25.7
PR-006,PR,Chert,20.6
PR-007,PR,Chert,22.2
PR-008,PR,Chert,10.5
PR-009,PR,Chert,18.9
PR-010,PR,Chert,25.9
PR-011,PR,Chert,23.8
PR-012,PR,Chert,22
PR-013,PR,Chert,10.6
PR-014,PR,Flint,33.2
PR-015,PR,Chert,16.8
PR-016,PR,Chert,21.8
PR-017,PR,Flint,48.3
WF-001,WF,Chert,15.8
WF-002,WF,Flint,39.4
WF-003,WF,Flint,43.5
WF-004,WF,Flint,39.8
WF-005,WF,Chert,16.3
WF-006,WF,Flint,40.5
WF-007,WF,Flint,91.7
WF-008,WF,Chert,21.7
WF-009,WF,Chert,17.9
WF-010,WF,Flint,29.3
WF-011,WF,Flint,39.1
WF-012,WF,Flint,42.5
WF-013,WF,Flint,49.6
WF-014,WF,Chert,13.7
WF-015,WF,Chert,19.1
WF-016,WF,Flint,40.6
WF-017,WF,Flint,49.1
WF-018,WF,Flint,41.7
WF-019,WF,Chert,15.2
WF-020,WF,Chert,21.2
WF-021,WF,Flint,30.2
WF-022,WF,Flint,40
WF-023,WF,Chert,20.2
WF-024,WF,Flint,31.9
WF-025,WF,Flint,42.3
WF-026,WF,Flint,47.2
WF-027,WF,Flint,50.5
WF-028,WF,Chert,10.6
WF-029,WF,Chert,23.1
WF-030,WF,Flint,44.1
WF-031,WF,Flint,45.8
